candidate_family,item_name,year,prefecture_code,prefecture_name,sex,age_group,value,missing_state,source_release_no,source_file
diabetes_metabolic,BMI,2013,01,北海道,male,40-44,24.3833396967187,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,male,45-49,24.408879293854,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,male,50-54,24.3223665375094,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,male,55-59,24.1854198462824,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,male,60-64,24.0456850889765,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,male,65-69,23.8843683952691,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,male,70-74,23.8694227818972,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,male,total,24.209840470363,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,female,40-44,21.9849870636186,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,female,45-49,22.1630865404898,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,female,50-54,22.2688642857143,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,female,55-59,22.447408700482,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,female,60-64,22.6752748513244,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,female,65-69,22.8401044375975,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,female,70-74,23.1357399495048,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,01,北海道,female,total,22.4773106898176,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,male,40-44,84.6013728627979,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,male,45-49,85.2104689039746,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,male,50-54,85.325926824338,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,male,55-59,85.2876809506168,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,male,60-64,85.1712441349631,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,male,65-69,84.9071788648245,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,male,70-74,84.9610464372522,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,male,total,85.0757680110379,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,female,40-44,76.7266120286583,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,female,45-49,77.4278907945532,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,female,50-54,78.1536858788511,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,female,55-59,79.227874841169,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,female,60-64,79.9866608944569,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,female,65-69,80.5640180270406,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,female,70-74,81.7560941222228,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,01,北海道,female,total,79.0146953736338,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,01,北海道,male,40-44,96.0984573755858,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,01,北海道,male,45-49,99.068623543105,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,01,北海道,male,50-54,101.750481067413,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,01,北海道,male,55-59,104.224198940073,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,01,北海道,male,60-64,105.259877021837,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,01,北海道,male,65-69,104.114283980214,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,01,北海道,male,70-74,103.012166859791,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
