domain,indicator_name,release_no,fiscal_year,data_year_type,n_prefecture_observed,n_prefecture_suppressed,n_prefecture_total,coverage_pct,n_records_total,n_records_observed,n_records_suppressed,n_records_other
diabetes_metabolic,BMI,1,2013,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,BMI,10,2022,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,BMI,11,2023,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,BMI,2,2014,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,BMI,3,2015,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,BMI,4,2016,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,BMI,5,2017,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,BMI,6,2018,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,BMI,7,2019,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,BMI,8,2020,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,BMI,9,2021,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HDL_cholesterol,1,2013,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HDL_cholesterol,10,2022,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HDL_cholesterol,11,2023,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HDL_cholesterol,2,2014,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HDL_cholesterol,3,2015,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HDL_cholesterol,4,2016,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HDL_cholesterol,5,2017,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HDL_cholesterol,6,2018,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HDL_cholesterol,7,2019,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HDL_cholesterol,8,2020,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HDL_cholesterol,9,2021,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HbA1C,1,2013,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HbA1C,10,2022,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HbA1C,11,2023,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HbA1C,2,2014,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HbA1C,3,2015,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HbA1C,4,2016,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HbA1C,5,2017,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HbA1C,6,2018,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HbA1C,7,2019,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HbA1C,8,2020,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,HbA1C,9,2021,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,LDL_cholesterol,1,2013,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,LDL_cholesterol,10,2022,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,LDL_cholesterol,11,2023,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,LDL_cholesterol,2,2014,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,LDL_cholesterol,3,2015,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,LDL_cholesterol,4,2016,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,LDL_cholesterol,5,2017,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,LDL_cholesterol,6,2018,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,LDL_cholesterol,7,2019,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,LDL_cholesterol,8,2020,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,LDL_cholesterol,9,2021,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,diastolic_BP,1,2013,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,diastolic_BP,10,2022,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,diastolic_BP,11,2023,specific_health_checkup,47,0,47,100.0,752,752,0,0
diabetes_metabolic,diastolic_BP,2,2014,specific_health_checkup,47,0,47,100.0,752,752,0,0
